All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturated,Insaturated,Acids,Bases,Alcohols,Aminoderivatives,Amides,Aldehydes,Carbohydrates,Amino acids,Alkaloids
cinnamic acid,cinnamic acid,"9,12-Octadecadienoic acid (Z,Z)-","9,12-octadecadienoic acid, better known as linoleic acid, is a polyunsaturated fatty acid of the omega-6 series, crucial for human health and present in many vegetable oils such as olive, canola and sunflower. This fatty acid cannot be produced by the human body and, therefore, must be obtained through food. It is essential in cell development and repair, blood pressure regulation and immune function.

Linoleic acid plays an important role in cardiovascular health, as it can help reduce LDL cholesterol levels and promote a healthy lipid profile. In addition, research indicates that it may play a role in weight management, helping to reduce body fat stores.",Protocatechoic acid,"It is a phenolic acid, it is the antioxidant that is present in the greatest quantity in tea infusions. It has been shown to have anti-inflammatory effects and hepatoprotective effects. Antileukemic effects have also been studied. Its antioxidant effect protects the leaves of the plant from UV radiation.",Glycerol,,4-Aminobutanoic acid,,Glycerol monostearate,"Pyrrolidine, 2-butyl-1-methyl-",,,Glucopyranose,L-Phenylalanine,Ecgonine
Hexadecane,Hexadecane,"9-Octadecenamide, (Z)-","9-octadecenamide acid, commonly known as oleamide, is a compound derived from oleic acid, a fatty acid prevalent in many vegetable oils. In the human body, oleamide accumulates in situations of sleep deprivation, acting as a sleep inducer. This function suggests that oleamide plays a regulatory role in sleep-wake cycles, facilitating the transition to rest.",Salicylic acid,"Salicylic acid is a plant hormone, involved in the growth, ion transport and photosynthesis of many plants. It is involved in the associated internal signaling that regulates the plant's defense against pathogens. It is capable of regulating inflammatory processes by modulating COX-1 and COX-2 enzymes, inhibiting the formation of pro-inflammatory prostaglandins. It is the precursor of aspirin, being a medication that reduces pain, fever and inflammation.",Glycerol monostearate,,4-Coumaric acid,,Glyceryl-glycoside ether,delta. Amino levulinic acid tri-,,,Glycerol,L-Proline,
lauric acid,lauric acid,Adenine,"Adenine is one of the four fundamental nitrogenous bases that form part of nucleic acids, which are essential for life. These nucleic acids, specifically DNA and RNA, act as genetic material in living organisms and are crucial for storing and transmitting genetic information from generation to generation. In DNA, adenine is specifically paired with thymine by hydrogen bonds, forming an integral part of the double helix structure of DNA.

In addition to its role in DNA, adenine has important functions in other biological processes. It is a component of ATP (adenosine triphosphate), which is a vital molecule that stores and transports chemical energy within cells for the metabolization of nutrients. It is also involved in the synthesis of several essential cofactors and in the regulation of cell signaling processes, demonstrating its versatility and importance in numerous cellular and metabolic functions. Understanding the role of adenine helps to appreciate how energy and genetic information are handled in the body, essential for cellular life and activity.",Shikimic acid,"Shikimic acid is an intermediate in the synthesis of secondary metabolites present in plants and microorganisms. Its name derives from the flower of the Japanese shikimi. In the pharmaceutical industry, shikimic acid, obtained from star anise (Illicium verum), is used for the production of the antiviral oseltamivir. Shikimic acid is a precursor to the aromatic amino acids phenylalanine and tyrosine, indole, indole derivatives and the aromatic amino acid tryptophan, many alkaloids and other aromatic metabolites, tannins, flavonoids, and lignin.",Heptadecane,,4-hydroxybenzoic acid,,L-(-)-Arabitol,Putrescine,,,Glycerol monostearate,Serine,
Octadecane,Octadecane,alpha-Linolenic acid,"Beyond its biological function, oleamide is prized in industry for its lubricating properties, making it ideal for manufacturing and machinery maintenance, reducing friction and prolonging equipment life. It is also used as an anticorrosive agent, protecting metals from oxidation and wear. These industrial applications, combined with its role in sleep regulation, make oleamide a compound of great interest and versatility in fields as varied as sleep medicine and engineering.",Benzoylecgonine,"Benzoylecgonine is the main metabolite of cocaine, it is formed in the liver and excreted in the urine. It is the compound analyzed in most urine tests for the detection of cocaine. It is the main component of Esterom, an investigational medication for the relief of muscle pain.",HeptadecanoicAcid,,cinnamic acid,,Meso-Erythritol,Iminodiacetic Acid,,,Glyceryl-glycoside ether,L-Threonine,
Protocatechoic acid,Protocatechoic acid,alphatocopherol,"Alpha-tocopherol, better known as vitamin E, is crucial for the protection and maintenance of cellular health in the human body. It acts primarily as an antioxidant, defending cells from damage caused by free radicals, molecules that can deteriorate cells and increase the risk of chronic diseases such as cancer and heart disease. This role is especially vital for lipids, which are essential components of cell membranes and need protection to ensure proper cell function.

Beyond its antioxidant capacity, alpha-tocopherol is essential for the immune system, enhancing the body's ability to fight infections. It also contributes to skin health, protecting against damage from aging and sun exposure. It is found naturally in sources such as vegetable oils, nuts, seeds and green leafy vegetables, making a balanced diet essential to ensure adequate vitamin E intake. This intake not only helps prevent chronic diseases, but also supports overall health and well-being.",Cocaine,"It is also known as benzoylmethylecgonine. It is a tropane-type alkaloid and strong stimulant. Cocaine has known vasoconstrictive and local analgesic effects, being useful in laryngeal surgeries. It has a powerful sympathomimetic and stimulating effect on the central nervous system by blocking the reuptake of dopamine, norepinephrine and serotonin in the central nervous system. It is produced by plants of the genus Erythroxilum varieties coca, truxillensis, ipadu and novogranatense, being a powerful insecticide with an effect neurotoxic",Hexadecane,,4-Hydroxycinnamic acid,,Myo-Inositol,,,,Gulonic acid,L-Valine,
quinic acid(S),quinic acid(S),Benzoic Acid,"3-O-coumaroylquinic acid is a phenolic compound important in plant metabolism, derived from the union of p-coumaric acid and quinic acid. P-coumaric acid is part of the cinnamic acid family, which are common in plant waxes such as shea butter and play an essential role in plant protection. These compounds form a waxy barrier that waterproofs fruits, leaves and flowers, helping plants resist various environmental conditions by preventing water loss and protecting them from pathogens.

In addition, 3-O-coumaroylquinic acid possesses significant antioxidant properties, making it crucial in the defense against oxidative stress caused by environmental factors such as UV radiation and pollution. These antioxidants help protect and preserve the structural integrity of plants, ensuring their development and survival. Because of its impact on plant health and its role in the protection of cellular structures, this acid is not only essential for plant growth and reproduction, but also has potential in biotechnological and agricultural applications to improve plant resistance to environmental adversities.",Ecgonine,"Ecgonine is a tropane-type alkaloid, which is a precursor to the production of cocaine by the plant. It can be obtained by acid decomposition of cocaine (hydrolysis). It is produced by the liver when metabolizing cocaine and is eliminated by the kidneys. It has potential use for the development of antispasmodics and analgesics",Hexanedioic acid,,5-0-Coumaroyl-D-quinic acid,,Phytol,,,,L-(-)-Arabitol,Glycine,
Nonadecane,Nonadecane,Butanedioic acid,"Butanedioic acid, better known as succinic acid, is a vital organic compound in the citric acid cycle, where it plays a crucial role in energy production within the cells of all living things. This dicarboxylic acid is characterized by its white solid state and its structure with two carboxyl groups, which give it high reactivity and versatility in various industrial applications.

In industry, succinic acid is used in the manufacture of plastics and solvents, and as an additive in the food industry to improve flavor and texture. It is also essential in the production of fragrances and in cosmetics, where it serves as a precursor for synthesizing more complex components. In the medical field, it is explored for its anti-inflammatory properties and as a supplement to relieve pain and inflammation. Recently, succinic acid has gained attention as a sustainable chemical, produced ecologically through bacterial fermentation of plant-derived sugars, highlighting its potential in creating greener solutions for the chemical industry.",Ecgonine ethyl ester,"It is an analogue of ecgonine. Ecgonine has reactive substituents in its tropane-like structure. It has an alcohol group, a nitrogen group and a carboxylic acid functional group.  Carboxylic acid can react with alcohols in a process called esterification. When carboxylic acid reacts with an alcohol, an ester of the alcohol with which it interacts is formed. These esters have the potential to interact with cell membranes and can interfere with the metabolism of insects, bacteria and fungi.",Pentadecane,,"9,12-Octadecadienoic acid (Z,Z)-",,Xylitol,,,,Lactose,Tyrosine,
4-Coumaric acid,4-Coumaric acid,Butanoic acid,"Butanoic acid, commonly known as butyric acid, is a saturated organic acid with a chain of four carbon atoms. It is found naturally in plant cell walls and in dairy products, especially butter, from which it derives its name from the Latin 'butyricum'. This acid is recognized by its pungent odor, characteristic of rancid butter, and plays an important role in various industries.

In the fragrance and flavor industry, butanoic acid is used for its unique olfactory profile, although its use must be carefully dosed due to its potent aroma. In medicine, it is investigated for its anti-inflammatory properties, particularly in the treatment of inflammatory bowel conditions such as Crohn's disease and colitis. In addition, butanoic acid is studied for its ability to influence the regulation of metabolism and gene expression, especially how it modulates cell activity in mammals.

This combination of properties makes butanoic acid a compound of great interest in multiple disciplines, including food, pharmacology and biomedical research, highlighting its utility and potential in a variety of practical and scientific applications.",Phytol,"Phytol is a diterpene type fatty alcohol, it is a constitutional part of chlorophyll. As a metabolite, numerous biological effects have been reported such as asiolytic, antioxidant, cytotoxic, and anti-inflammatory.",Methyl Stearate,,abietic acid,,Xylonic acid,,,,,.beta.-Alanine,
D-Mannitol,D-Mannitol,Tris(trimethylsilyl)carbamate,"It is a substance derived from carbamic acid, which is a building block of numerous substances in plants, being the synthesis of carbamoyl phosphate, a key precursor to form ornithine which in turn can be converted into alkaloids in plants.",Ecgonine methyl ester,"
Ecognin analog precursor of cocaine biosynthesis. Where the carboxylic acid functional group reacts with a methyl alcohol, forming the methyl ester. Esters have good affinity with cell membranes.",Nonadecane,,alpha-Linolenic acid,,Phytol2,,,,,4-Aminobutyric acid,
Eicosane,Eicosane,Citric acid,"Citric acid is a tricarboxylic organic acid naturally present in many fruits, particularly citrus fruits such as lemons and oranges. This composition gives it potent antioxidant activity, protecting the body from free radicals that accelerate aging and can cause disease. Its acidic nature also helps preserve foods and beverages by inhibiting the growth of harmful microorganisms and adjusting the acidity balance, improving flavor.

Outside the food context, citric acid is valued in the cosmetic and cleaning industry for its ability to dissolve mineral and fatty residues, making it a key ingredient in many household cleaning products and personal care items. Its versatility and effectiveness make it indispensable in a variety of applications, highlighting its importance in nutrition and health as well as in everyday household and industrial use.",Mimosine l,"It is a non-protein amino acid, which has toxic effects on ruminants. It has an antimitotic effect, it stops cell growth, this effect being applied in the treatment of ovarian cancer.",Tetradecane,,Benzoic Acid,,,,,,,Mimosine l,
Palmitic Acid,Palmitic Acid,Xylonic acid,"It is a sugar of the aldose group, it comes from the oxidation of xylose. As a sugar it is a monosaccharide of 5 carbons.",Trigonelline,"It is a zwitterion-type alkaloid (it has localized positive and negative charges) derived from niacin (vitamin b). It is, together with chlorgenic acid and caffeine, responsible for the bitter taste of coffee. Trigonelline acts as a modulator of the prostaglandin receptor EP2, which regulates the contraction of smooth muscle and the contraction of blood vessels. It also has some appetite-stimulating, hyperglycemia and diuretic properties.",Octadecane,,Butanedioic acid,,,,,,,,
HeptadecanoicAcid,HeptadecanoicAcid,D-(+)-Glucosamine,"D-(+)-Glucosamine is an aminoglycoside that combines a glucose molecule with an amino group, playing a crucial role in glycosylation processes, i.e. the addition of sugar chains to proteins and lipids. This process is vital for cell function and the development of complex cell structures. It is naturally found in the exoskeleton of arthropods, such as crustaceans and insects, providing structure and protection, as well as in the cell wall of fungi.",Tropine,"Tropine is a tropane-type alkaloid, also called 3-tropanol. It is a well-known long-acting muscarinic antagonist (LAMA) and is a class of inhaled drug that has been effective in patients with chronic obstructive pulmonary disease and asthma. It is part of the structure of trophic alkaloids such as atropine, hissociamine and scopolamine present in atropa belladonna.",,,Chlorogenic acid,,,,,,,,
Methyl Stearate,Methyl Stearate,D-(+)-melezitose,"D-(+)-Melecithiose is a trisaccharide, which means that it is composed of three simple sugar units. Unlike other sugars, it is non-reducing, which means that it does not participate in the reduction reactions typical of sugars such as glucose; this characteristic gives it greater chemical stability and affects its interactions in biological processes.

This sugar is obtained naturally from the exudation of certain trees, a mechanism that trees use to protect themselves from damage or infection, secretion that can act as a physical or antimicrobial barrier. In the ecosystem, D-(+)-Melecithase serves as a carbon source for various organisms living in symbiosis with trees, including some insects and microbes, thus facilitating complex ecological interactions.

Although its industrial use is not as widespread as that of other sugars due to its scarcity and complexity in extraction, D-(+)-Melecithiose is of great interest for botanical and ecological studies exploring plant defenses and plant-insect interactions. Its unique structure also offers possibilities for research in carbohydrate chemistry and biotechnological applications, making it a relevant topic in carbohydrate science and biotechnology.",trans-Cinnamoylcocaine,"It is a tropane-type alkaloid, showing close structural similarity to cocaine. It is said to be pharmacologically inactive. Methylecgonine cinnamate can dimerize to truxillin, a derivative of truxilic acid.",,,"Oleic Acid, (Z)-",,,,,,,,
Methyl Palmitate,Methyl Palmitate,D-Allose,"In humans and other mammals, glucosamine is essential for the formation and maintenance of cartilage, the tissue that protects joints. Because of its ability to support joint health, it is widely used as a dietary supplement in the treatment of osteoarthritis. It is believed that it can help regenerate cartilage and reduce joint inflammation. Glucosamine supplements are often derived from marine sources and are valued by those seeking relief from joint pain and improved mobility. Its use reflects its importance in joint health and in biotechnology, where its potential is being explored in a variety of medical and nutritional applications.",,,,,Citric acid,,,,,,,,
Docosane,Docosane,delta. Amino levulinic acid tri-,"(D)-amino levulinic acid is a crucial organic compound in the biosynthesis of porphyrins, fundamental components for life due to its role in the formation of chlorophyll in plants. This green pigment allows plants to carry out photosynthesis, converting solar energy into chemical energy, essential for their growth and survival. Therefore, (D)-amino levulinic acid is vital for plant health and agricultural productivity.

In addition to its role in nature, this compound has significant medical applications, especially in photodynamic therapy. Used as a photosensitizing agent, (D)-amino levulinic acid is activated by light to treat certain forms of cancer and skin disorders. This therapy takes advantage of its property to become an active compound under light exposure, destroying harmful cells and effectively treating affected areas without significant invasiveness. These applications make (D)-amino levulinic acid a compound of great interest both in the field of botany and in the medical field, underlining its versatility and value in various areas of research and treatment.",,,,,D-Gluconic acid,,,,,,,,
"9,12-Octadecadienoic acid (Z,Z)-","9,12-Octadecadienoic acid (Z,Z)-",D-Gluconic acid,"2-keto-L-gluconic acid is an organic compound derived from the oxidation of glucose, playing a crucial role as an intermediate in the transformation of glucose into vitamin C in both plants and some microorganisms. This acid is characterized by the presence of a ketone group on the second carbon of its molecular structure, the result of the oxidation of a hydroxyl group, which modifies its chemical properties and makes it soluble in water.

In industry, 2-keto-L-gluconic acid is valued for its chelating properties, capable of forming complexes with metals, thus facilitating its treatment in solutions. Additionally, it is commonly used in foods and beverages to stabilize colors and flavors, maintaining the desired quality of these products. From a biotechnological and pharmaceutical approach, this acid is investigated for its potential to improve the production of vitamin C in genetically modified organisms, which is essential for nutrition and the creation of dietary supplements",,,,,DocosanoicAcid,,,,,,,,
"Oleic Acid, (Z)-","Oleic Acid, (Z)-",d-Glucose,"D-glucose, commonly known as glucose, is an essential monosaccharide and one of the most abundant sugars on Earth. It is vital in both the plant and animal kingdoms due to its central role as an energy source. In plants, glucose is produced through photosynthesis, a process in which sunlight is used to convert water and carbon dioxide into glucose and oxygen. This sugar not only energizes the cellular activities of plants, but is also crucial for the synthesis of biomolecules such as starch and cellulose, important for energy storage and cellular structure.

In humans and other animals, glucose is essential for energy production through glycolysis, where it is broken down to release energy used in vital functions such as movement and brain function. Glucose levels are meticulously regulated by hormones such as insulin to maintain optimal energy balance, essential in the treatment and management of diabetes. In addition to its biological importance, glucose has practical applications; It is used as a sweetener in the food industry and in nutritional solutions in the medical field, demonstrating its versatility and essentiality in various applications.",,,,,Ethylphosphonic acid,,,,,,,,
Stearic acid,Stearic acid,DL-Ornithine,"Ornithine is a non-protein amino acid, meaning it is not used to build proteins, but it plays a crucial role in cellular metabolism. It is produced in cells from the amino acid glutamate and is essential for the creation of arginine, another amino acid important for many bodily processes, including eliminating waste and improving blood circulation. Additionally, ornithine is essential in the urea cycle, a vital process that helps detoxify ammonia, a toxic compound produced by the breakdown of proteins in the body.",,,,,Ferulic acid,,,,,,,,
Cocaine,Cocaine,D-Mannitol,"D-mannitol is a type of sugar known as sugar alcohol, which is found naturally in fruits and vegetables such as beets and celery. Unlike common sugars such as sucrose, mannitol has the particularity of being low in calories and does not cause a rapid increase in blood sugar levels, making it ideal as a sweetener for people with diabetes or for those seeking reduce your caloric intake.

In addition to being used as a sweetener in foods and beverages, mannitol also has medical applications due to its osmotic properties, which help reduce pressure in the brain and eyes when administered intravenously. This makes it a useful treatment in medical situations such as cerebral edema and glaucoma. Its ability to retain water also makes it valuable in cosmetic products such as moisturizing creams and lotions.",,,,,Galactaric Acid,,,,,,,,
Oleamide,Oleamide,Docosane,"Docosane is a type of saturated hydrocarbon composed of a linear chain of 22 carbon atoms. It is known for its hydrophobic properties, that is, its ability to repel water, which makes it useful in various industrial and scientific applications.

Due to its water resistance, docosane is frequently used in the manufacture of lubricants, protective coatings, and in the cosmetics industry to create products that form a protective barrier on the skin or hair. The field of nanotechnology is also being explored to develop surfaces that resist the accumulation of moisture and dirt.",,,,,Gallic acid,,,,,,,,
